fila,socio / razón social,contactos / firmantes,teléfono,estado
12,"QUIROGA, MARTÍN",-,11 5555-0112,VERDE
17,"RIVAS, JORGE ALBERTO",-,11 5555-0117,VERDE
29,"LEIVA, OSVALDO",-,11 5555-0129,VERDE
43,LA SERENA S.R.L.,"QUIROGA, MARTÍN (socio gerente)",11 5555-0112,VERDE
55,"ARENAS, NÉLIDA",-,sin dato,NO VOTA
71,"ALSINA, CARLOS MARÍA",-,11 5555-0171,SIN CLASIFICAR
72,"ALSINA, RICARDO JERÓNIMO",-,11 5555-0172,SIN CLASIFICAR
88,OTAMENDI HNOS. S.A.,"OTAMENDI, JOSÉ LUIS (presidente)",11 5555-0188,AMARILLO
96,"PAZ, SILVIA",-,11 5555-0196,VERDE
97,"FERREYRA, DANIEL",-,555-0197,AMARILLO
104,"SOLARI, MARÍA INÉS",-,11 5555-0104,ROJO
133,"MOLINA, RUBÉN",-,11 5555-0133,VERDE
152,OTAMENDI HNOS. S.A.,"OTAMENDI, MARCOS (apoderado)",11 5555-0152,SIN CLASIFICAR
190,SERVICIOS DEL VALLE S.A.,sin dato,sin dato,SIN CLASIFICAR
201,"OTAMENDI, JOSÉ LUIS",-,11 5555-0188,FALLECIDO
